https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1619224200,2021-04-24 00:30:00,DOGE/BTC,4.82e-06,4.82e-06,4.76e-06,4.81e-06,0.64899707,135671.65916891
1619222400,2021-04-24 00:00:00,DOGE/BTC,4.89e-06,4.99e-06,4.83e-06,4.84e-06,0.48487486,99457.04394857
1619220600,2021-04-23 23:30:00,DOGE/BTC,4.8e-06,4.9e-06,4.78e-06,4.88e-06,0.78357631,161998.4602
1619218800,2021-04-23 23:00:00,DOGE/BTC,4.81e-06,4.83e-06,4.8e-06,4.81e-06,1.22329666,254283.32134554
1619217000,2021-04-23 22:30:00,DOGE/BTC,4.74e-06,4.8e-06,4.72e-06,4.8e-06,0.57532178,120706.60938644
1619215200,2021-04-23 22:00:00,DOGE/BTC,4.77e-06,4.77e-06,4.7e-06,4.73e-06,0.32383197,68543.83159416
1619213400,2021-04-23 21:30:00,DOGE/BTC,4.81e-06,4.81e-06,4.73e-06,4.73e-06,0.68792792,144874.41274489
1619211600,2021-04-23 21:00:00,DOGE/BTC,4.69e-06,4.82e-06,4.69e-06,4.81e-06,0.36941938,77109.03343642
1619209800,2021-04-23 20:30:00,DOGE/BTC,4.8e-06,4.83e-06,4.67e-06,4.68e-06,1.11452021,235724.69001414
1619208000,2021-04-23 20:00:00,DOGE/BTC,4.73e-06,4.82e-06,4.72e-06,4.79e-06,0.37374337,78084.66627972
1619206200,2021-04-23 19:30:00,DOGE/BTC,4.59e-06,4.75e-06,4.58e-06,4.75e-06,1.08557726,232746.16279189
1619204400,2021-04-23 19:00:00,DOGE/BTC,4.59e-06,4.62e-06,4.55e-06,4.59e-06,1.76324287,383585.34921792
1619202600,2021-04-23 18:30:00,DOGE/BTC,4.61e-06,4.63e-06,4.57e-06,4.59e-06,2.66851065,580803.16131754
1619200800,2021-04-23 18:00:00,DOGE/BTC,4.66e-06,4.66e-06,4.51e-06,4.6e-06,0.85383263,185929.37769196
1619199000,2021-04-23 17:30:00,DOGE/BTC,4.7e-06,4.72e-06,4.66e-06,4.68e-06,0.10795312,22979.09510293
1619197200,2021-04-23 17:00:00,DOGE/BTC,4.71e-06,4.75e-06,4.65e-06,4.71e-06,1.49226325,318255.77839053
1619195400,2021-04-23 16:30:00,DOGE/BTC,4.64e-06,4.73e-06,4.62e-06,4.68e-06,0.25480964,54520.56743038
1619193600,2021-04-23 16:00:00,DOGE/BTC,4.72e-06,4.8e-06,4.61e-06,4.66e-06,1.10529267,235456.06471997
1619191800,2021-04-23 15:30:00,DOGE/BTC,4.65e-06,4.77e-06,4.65e-06,4.72e-06,1.37596307,292611.57578572
1619190000,2021-04-23 15:00:00,DOGE/BTC,4.66e-06,4.67e-06,4.58e-06,4.63e-06,2.43796304,525910.86649662
1619188200,2021-04-23 14:30:00,DOGE/BTC,4.67e-06,4.76e-06,4.65e-06,4.72e-06,0.9339889,198475.13614917
1619186400,2021-04-23 14:00:00,DOGE/BTC,4.5e-06,4.73e-06,4.5e-06,4.67e-06,2.29028226,498558.77209699
1619184600,2021-04-23 13:30:00,DOGE/BTC,4.51e-06,4.53e-06,4.39e-06,4.52e-06,1.4654098,328109.74615587
1619182800,2021-04-23 13:00:00,DOGE/BTC,4.53e-06,4.58e-06,4.46e-06,4.49e-06,1.47995776,328211.34617727
1619181000,2021-04-23 12:30:00,DOGE/BTC,4.62e-06,4.66e-06,4.48e-06,4.51e-06,2.95777363,647573.36741001
1619179200,2021-04-23 12:00:00,DOGE/BTC,4.84e-06,4.89e-06,4.62e-06,4.63e-06,4.43149564,940090.8855229
1619177400,2021-04-23 11:30:00,DOGE/BTC,4.8e-06,4.89e-06,4.77e-06,4.85e-06,2.37267882,490976.70409483
1619175600,2021-04-23 11:00:00,DOGE/BTC,4.88e-06,4.88e-06,4.71e-06,4.79e-06,0.9661985,200855.16691265
1619173800,2021-04-23 10:30:00,DOGE/BTC,4.87e-06,4.99e-06,4.87e-06,4.9e-06,2.45763948,498795.37081706
1619172000,2021-04-23 10:00:00,DOGE/BTC,4.9e-06,5e-06,4.84e-06,4.88e-06,2.7654686,563167.29619486
1619170200,2021-04-23 09:30:00,DOGE/BTC,4.83e-06,4.96e-06,4.72e-06,4.92e-06,1.63254094,335980.74357064
1619168400,2021-04-23 09:00:00,DOGE/BTC,4.86e-06,5.12e-06,4.8e-06,4.84e-06,15.40687161,3108428.07007496
