https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1619224200,2021-04-24 00:30:00,ETH/BTC,0.04571957,0.04571957,0.04554247,0.04559451,2.92528905,64.14083132
1619222400,2021-04-24 00:00:00,ETH/BTC,0.04630766,0.04630766,0.0457129,0.0457129,7.60621481,165.58429111
1619220600,2021-04-23 23:30:00,ETH/BTC,0.04620208,0.04637779,0.04619438,0.04626944,4.5378602,98.05889518
1619218800,2021-04-23 23:00:00,ETH/BTC,0.04592605,0.04624387,0.04589685,0.04621993,0.41744385,9.04702013
1619217000,2021-04-23 22:30:00,ETH/BTC,0.04600033,0.04600033,0.04589104,0.04589239,0.46346119,10.084561
1619215200,2021-04-23 22:00:00,ETH/BTC,0.04590509,0.04596518,0.04578177,0.04592519,0.66262771,14.43000226
1619213400,2021-04-23 21:30:00,ETH/BTC,0.04611457,0.04612352,0.04586636,0.04587678,2.78643024,60.64518548
1619211600,2021-04-23 21:00:00,ETH/BTC,0.046062,0.04652802,0.046062,0.04616831,2.41858838,52.33203575
1619209800,2021-04-23 20:30:00,ETH/BTC,0.04609736,0.04624423,0.0458409,0.04592517,5.20950178,113.12770554
1619208000,2021-04-23 20:00:00,ETH/BTC,0.0464878,0.04651939,0.04595062,0.04598237,5.48355744,118.39498854
1619206200,2021-04-23 19:30:00,ETH/BTC,0.04628476,0.04647613,0.0462459,0.0464682,3.21137267,69.26981314
1619204400,2021-04-23 19:00:00,ETH/BTC,0.04638261,0.04640566,0.04626183,0.04629836,2.31705552,50.036318
1619202600,2021-04-23 18:30:00,ETH/BTC,0.04624136,0.04644903,0.04615768,0.04635071,10.50407181,226.83424885
1619200800,2021-04-23 18:00:00,ETH/BTC,0.0460337,0.04621302,0.04598169,0.04621302,7.13617921,154.74159259
1619199000,2021-04-23 17:30:00,ETH/BTC,0.0463834,0.0464437,0.0459083,0.0460037,4.49904619,97.68876041
1619197200,2021-04-23 17:00:00,ETH/BTC,0.04671011,0.04671011,0.04616871,0.046405,11.10719464,239.32642046
1619195400,2021-04-23 16:30:00,ETH/BTC,0.04675421,0.04696935,0.04651925,0.04665701,11.20855124,239.49983687
1619193600,2021-04-23 16:00:00,ETH/BTC,0.04688069,0.04694999,0.04653857,0.04669542,7.24122772,154.59574013
1619191800,2021-04-23 15:30:00,ETH/BTC,0.04614104,0.04691064,0.04614104,0.04683202,10.26800063,220.83227698
1619190000,2021-04-23 15:00:00,ETH/BTC,0.04617487,0.04617487,0.04593231,0.04610577,8.8733778,192.64836768
1619188200,2021-04-23 14:30:00,ETH/BTC,0.04595901,0.04624684,0.04590279,0.04618558,8.54697512,185.50338145
